1760673600000,109209.80000000,109272.72000000,105549.00000000,105639.60000000,1682.78454000,1760687999999,180350747.61926570,180683,626.70685000,67187208.38130730,0
1760688000000,105639.60000000,106615.78000000,103529.01000000,105693.16000000,3091.06995000,1760702399999,324932839.13086400,216278,1560.72025000,164107586.56486680,0
1760702400000,105693.15000000,106870.99000000,104550.43000000,106805.23000000,1737.70236000,1760716799999,183522351.42422260,171260,886.58355000,93667307.02759490,0
1760716800000,106805.23000000,107590.66000000,106100.00000000,106484.40000000,1095.77067000,1760731199999,116969517.03123480,133507,602.82935000,64355909.62993300,0
1760731200000,106488.59000000,107489.44000000,106377.47000000,106474.21000000,480.14791000,1760745599999,51381482.75196820,68839,235.58294000,25210121.64401650,0
1760745600000,106474.22000000,107350.82000000,106370.03000000,107127.90000000,566.66920000,1760759999999,60582606.21070800,78980,271.42678000,29014788.87356210,0
1760760000000,107127.98000000,107548.39000000,106493.25000000,106742.90000000,466.95815000,1760774399999,49933491.69569420,76574,199.26273000,21316168.00316000,0
1760774400000,106739.40000000,107275.96000000,106660.70000000,107256.65000000,335.33006000,1760788799999,35852552.95992920,60136,175.53007000,18770901.62925330,0
1760788800000,107256.65000000,107354.60000000,106786.00000000,106996.01000000,305.57737000,1760803199999,32706335.19362990,55200,163.04978000,17450821.68426330,0
1760803200000,106996.01000000,107136.95000000,106525.59000000,107119.63000000,259.43275000,1760817599999,27716665.68228050,41070,122.37171000,13074373.08375680,0
1760817600000,107119.63000000,107389.98000000,106893.36000000,107226.02000000,229.74170000,1760831999999,24620927.92592940,38203,106.11470000,11372320.24629470,0
1760832000000,107226.01000000,107396.21000000,106780.07000000,107302.78000000,305.36257000,1760846399999,32685397.86726930,57373,130.68929000,13990613.88881770,0
1760846400000,107302.79000000,107323.30000000,106590.31000000,106811.75000000,277.72588000,1760860799999,29705386.31932410,44746,114.04087000,12194761.19212370,0
1760860800000,106811.75000000,108288.50000000,106136.22000000,107829.91000000,1418.43533000,1760875199999,152083279.10258000,145370,733.39849000,78667985.42036810,0
1760875200000,107829.91000000,108662.06000000,107396.75000000,108527.93000000,691.95543000,1760889599999,74854757.99631150,111211,321.83657000,34820404.71079690,0
1760889600000,108527.93000000,109500.00000000,108289.56000000,108955.10000000,775.50222000,1760903999999,84562728.24027720,107228,408.42693000,44534764.27101280,0
1760904000000,108955.10000000,109416.97000000,108485.00000000,108689.01000000,560.90063000,1760918399999,61101187.03201110,79332,255.71529000,27860157.20833220,0
1760918400000,108689.01000000,110466.00000000,107471.07000000,110171.78000000,1151.84982000,1760932799999,125120533.49562450,143714,625.40749000,67954292.68791180,0
1760932800000,110181.50000000,111458.11000000,109995.60000000,111224.22000000,1174.73228000,1760947199999,130290434.06583140,136364,600.25654000,66576839.51451190,0
1760947200000,111224.21000000,111712.00000000,110669.33000000,111066.80000000,661.25152000,1760961599999,73439696.32747830,104698,315.92855000,35093098.13185910,0
1760961600000,111066.80000000,111742.83000000,110625.01000000,111189.26000000,958.93275000,1760975999999,106556597.33453290,140597,387.57125000,43067394.34244070,0
1760976000000,111189.26000000,111358.51000000,109891.44000000,110852.01000000,1047.12646000,1760990399999,115876062.46409650,154695,471.78520000,52218540.58757250,0
1760990400000,110847.92000000,111310.01000000,110446.75000000,110577.51000000,544.21172000,1761004799999,60346259.58281970,70407,264.87408000,29384571.29183030,0
1761004800000,110577.50000000,110577.51000000,109109.53000000,109112.09000000,667.04310000,1761019199999,73256618.71505530,102835,271.11691000,29773923.46719370,0
1761019200000,109112.08000000,109112.08000000,107515.36000000,108114.02000000,1139.44572000,1761033599999,123092242.31346960,139581,531.79596000,57443281.87877770,0
1761033600000,108114.02000000,108856.51000000,107515.75000000,108614.52000000,860.83860000,1761047999999,93022677.92586720,101374,452.40708000,48894091.37393440,0
